timestamp,cell_id,voltage,current,temp
2026-09-14 00:00:00,CELL-001,3.903,-4.75,26.9
2026-09-14 00:00:00,CELL-002,3.446,2.36,36.9
2026-09-14 00:00:00,CELL-003,4.181,-4.13,30.5
2026-09-14 00:00:00,CELL-004,3.233,-2.81,32.6
2026-09-14 00:00:00,CELL-005,3.229,-3.01,36.2
2026-09-14 01:00:00,CELL-001,3.799,-2.8,34.7
2026-09-14 01:00:00,CELL-002,4.09,-4.94,40.1
2026-09-14 01:00:00,CELL-003,3.968,-1.6,23.9
2026-09-14 01:00:00,CELL-004,4.253,-1.63,22.3
2026-09-14 01:00:00,CELL-005,3.306,3.47,35.1
2026-09-14 02:00:00,CELL-001,4.088,2.3,33.4
2026-09-14 02:00:00,CELL-002,4.27,-1.21,33.8
2026-09-14 02:00:00,CELL-003,4.112,1.19,41.5
2026-09-14 02:00:00,CELL-004,3.835,2.05,21.1
2026-09-14 02:00:00,CELL-005,3.451,-2.11,22.0
2026-09-14 03:00:00,CELL-001,3.456,-3.99,26.9
2026-09-14 03:00:00,CELL-002,3.899,-1.35,29.3
2026-09-14 03:00:00,CELL-003,3.43,-2.33,43.4
2026-09-14 03:00:00,CELL-004,3.913,1.09,24.3
2026-09-14 03:00:00,CELL-005,4.002,-3.37,29.5
2026-09-14 04:00:00,CELL-001,4.288,1.4,33.9
2026-09-14 04:00:00,CELL-002,3.953,3.43,39.4
2026-09-14 04:00:00,CELL-003,3.452,-4.68,27.9
2026-09-14 04:00:00,CELL-004,3.495,-2.89,43.6
2026-09-14 04:00:00,CELL-005,4.164,-1.85,36.4
2026-09-14 05:00:00,CELL-001,3.635,4.15,31.5
2026-09-14 05:00:00,CELL-002,3.491,-2.53,34.0
2026-09-14 05:00:00,CELL-003,3.489,0.85,42.4
2026-09-14 05:00:00,CELL-004,3.639,-2.81,44.9
2026-09-14 05:00:00,CELL-005,3.76,-4.09,21.2
2026-09-14 06:00:00,CELL-001,3.321,1.27,39.8
2026-09-14 06:00:00,CELL-002,3.664,-4.36,29.5
2026-09-14 06:00:00,CELL-003,4.296,0.29,44.3
2026-09-14 06:00:00,CELL-004,4.147,-4.89,38.0
2026-09-14 06:00:00,CELL-005,3.95,0.37,26.7
2026-09-14 07:00:00,CELL-001,3.905,-3.88,30.9
2026-09-14 07:00:00,CELL-002,3.699,4.54,41.9
2026-09-14 07:00:00,CELL-003,3.49,0.01,24.5
2026-09-14 07:00:00,CELL-004,4.204,3.71,27.5
2026-09-14 07:00:00,CELL-005,3.903,1.09,23.8
2026-09-14 08:00:00,CELL-001,4.039,0.39,39.5
2026-09-14 08:00:00,CELL-002,3.783,-4.99,28.1
2026-09-14 08:00:00,CELL-003,3.221,4.29,42.0
2026-09-14 08:00:00,CELL-004,4.115,-1.92,21.4
2026-09-14 08:00:00,CELL-005,4.166,4.47,22.1
